"","ID","Day","Month","Year","Location","Danger_Score","Trigger_Type","Origin","Size","Members","Dragged","Hurt","Dead","Activity","lat","long"
"120",319,"10","03","2016","Jacetania","4","Slab","Accidental",NA,5,5,0,0,"Unknown",42.794155,-0.422588
"121",277,"08","03","2016","Jacetania","3","Slab","Accidental",NA,2,2,0,0,"Off-piste skiing",42.794155,-0.422588
"122",276,"06","03","2016","Jacetania","3","Slab","Accidental",NA,1,1,1,0,"Off-piste skiing",42.794155,-0.422588
"123",288,"03","03","2016","Jacetania","3","Slab","Unknown",NA,3,3,0,0,"Off-piste skiing",42.794155,-0.422588
"124",334,"27","02","2016","Circo de San Miguel","No prediction","Slab","Unknown",NA,2,2,2,0,"Hiking",41.787615,-1.844866
"125",322,"16","02","2016","Jacetania","4","Slab","Unknown",NA,NA,-1,-1,-1,"Off-piste skiing",42.794155,-0.422588
"126",333,"21","01","2016","Valdezcaray","No prediction","Slab","Unknown",NA,1,1,0,1,"Skimo",42.243331,-2.972688
"127",280,"18","01","2016","Cigalera","3","Slab","Accidental",NA,1,1,0,0,"Mountainboarding",42.671225,0.99377
"128",258,"17","01","2016","Astún","3","Slab","Accidental",NA,3,1,1,0,"Off-piste skiing",42.809172,-0.491143
"129",278,"17","01","2016","La Cigalera","3","Slab","Accidental",NA,1,-1,-1,-1,"Mountainboarding",42.671225,0.99377
"130",287,"17","01","2016","Candanchú","3","Slab","Unknown",NA,2,-1,-1,-1,"Off-piste skiing",42.778118,-0.537333
"131",289,"17","01","2016","Chía","3","Point Release","Unknown",NA,NA,1,1,0,"Mountaineerin",42.695259,0.97174
"132",261,"16","01","2016","Jacetania","3","Slab","Unknown",NA,2,2,1,0,"Off-piste skiing",42.794155,-0.422588
"133",284,"16","01","2016","Baciver","3","Slab","Accidental",NA,4,-1,-1,-1,"Skimo",42.712534,0.991209
"134",286,"16","01","2016","Jacetania","3","Slab","Unknown",NA,NA,-1,-1,-1,"Off-piste skiing",42.794155,-0.422588
"135",214,"09","01","2016","Maladeta","2","Slab","Accidental",NA,10,10,0,0,"Skimo",42.647197,0.64022
"136",220,"06","01","2016","Jacetania","2","Slab","Accidental",NA,1,1,-1,-1,"Freeride",42.794155,-0.422588
"137",257,"05","01","2016","Jacetania","3","Slab","Accidental",NA,NA,-1,0,0,"Off-piste skiing",42.794155,-0.422588
"138",210,"12","12","2016","Gra de Fajol Petit","1","Slab","Accidental",NA,1,1,1,0,"Hiking",42.414608,2.260048
"139",244,"09","02","2017","Barranc dera Laveja","3","Slab","Accidental",NA,1,1,0,1,"Off-piste skiing",42.737803,0.985915
"140",303,"28","01","2017","Coma Pregona","4","Slab","Accidental",NA,1,1,0,0,"Off-piste skiing",42.326983,1.900613
"141",217,"09","01","2017","Coma de l’Estany. Vall de Filià","2","Slab","Accidental",NA,2,2,0,0,"Skimo",42.454713,0.91796
"142",211,"04","01","2017","Canal Sàbat","1","Slab","Accidental",NA,NA,0,1,0,"Hiking",42.286085,1.654374
"143",254,"03","12","2017","Tuc de la Cigalera","3","Slab","Accidental",NA,1,1,1,0,"Off-piste skiing",42.670897,0.993596
"144",456,"10","04","2018","Arinsal","3","Slab","Accidental",1.5,1,1,0,0,"Off-piste skiing",42.5650923148641,1.44993180884295
"145",318,"25","03","2018","Torrent de Set Fonts o del Suís","4","Slab","Accidental",NA,2,2,0,0,"Off-piste skiing",42.250331,1.695235
"146",306,"24","03","2018","Coma Pregona","4","Slab","Accidental",NA,2,2,0,0," On-piste skiing",42.327396,0.897486
"147",238,"22","03","2018","Conangles","3","Slab","Accidental",NA,3,3,1,2,"Skimo",42.632476,0.782819
"148",457,"18","03","2018","Arinsal","2","Slab","Accidental",3,6,3,0,0,"Off-piste skiing",42.5632274414321,1.45574100800961
"149",272,"11","03","2018","Canal de l'Ordiguer","3","Slab","Accidental",NA,1,1,1,0,"Mountaineerin",42.287427,1.655332
"150",458,"01","03","2018","Arcalís","4","Slab","Accidental",3,2,2,1,1,"Skimo",42.6299172938445,1.47123316624995
"151",459,"20","02","2018","Bony d'Envalira","4","Slab","Accidental",NA,1,1,0,0,"Skimo",42.5162711674548,1.7092750712726
"152",267,"11","02","2018","Canal de l'os","3","Slab","Accidental",NA,1,1,0,0,"Skimo",42.67691,1.219594
"153",269,"11","02","2018","Muntanya del Estanyets","3","Slab","Accidental",NA,1,1,0,0,"Freeride",42.552375,0.989787
